"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264787,0,1,1,0,NA,NA,NA,NA
63264788,1,1,18,0,NA,NA,NA,NA
63264789,0,2,94,0,NA,NA,NA,NA
63264790,2,2,250,NA,NA,NA,NA,NA
63264791,NA,1,NA,NA,NA,NA,NA,NA
63264792,NA,NA,7,NA,NA,NA,NA,NA
63264793,2,2,50,NA,NA,NA,NA,NA
63264794,0,0,0,0,NA,NA,NA,NA
63264795,NA,1,3,NA,NA,NA,NA,NA
63264796,0,1,3,0,NA,NA,NA,NA
63264797,1,2,10,0,NA,NA,NA,NA
63264798,1,2,12,0,NA,NA,NA,NA
63264799,0,1,50,0,NA,NA,NA,NA
63264800,0,1,0,0,NA,6,NA,NA
63264801,0,0,100,0,NA,NA,NA,NA
63264802,1,3,32,0,NA,NA,NA,NA
63264803,0,0,10,0,NA,NA,NA,NA
63264804,0,0,0,0,NA,NA,NA,NA
63264806,1,2,10,0,NA,NA,NA,NA
63264807,0,0,0,0,NA,NA,NA,NA
63264808,0,0,0,0,NA,NA,NA,NA
63264809,0,0,0,0,NA,NA,NA,NA
63264810,0,2,16,0,NA,NA,NA,NA
63264811,1,2,17,0,NA,NA,NA,NA
63264812,0,0,0,0,NA,NA,NA,NA
63264813,0,0,0,0,NA,NA,NA,NA
63264814,0,0,0,0,NA,NA,NA,NA
63264815,0,0,0,0,NA,NA,NA,NA
63264816,0,0,0,0,NA,NA,NA,NA
63264817,NA,2,12,NA,NA,NA,NA,NA
63264818,6,8,500,NA,NA,NA,NA,NA
63264819,14,3,75,NA,NA,NA,NA,NA
63264820,0,2,10,NA,NA,NA,NA,NA
63264821,1,NA,73,NA,NA,NA,NA,NA
63264822,NA,NA,317,NA,NA,NA,NA,NA
63264823,NA,NA,7,NA,NA,NA,NA,NA
63264824,2,0,30,0,NA,NA,NA,NA
63264825,NA,NA,4,NA,NA,NA,NA,NA
63264826,0,0,0,0,NA,NA,NA,NA
63264827,NA,NA,11,NA,NA,NA,NA,NA
63264828,2,2,10,NA,NA,NA,NA,NA
63264829,0,NA,0,0,NA,NA,NA,NA
63264830,1,2,7,NA,NA,NA,NA,NA
63264831,NA,NA,56,NA,NA,NA,NA,NA
63264832,5,5,200,3,NA,NA,NA,NA
63264833,0,0,0,0,NA,NA,NA,NA
63264834,0,0,0,0,NA,NA,NA,NA
63264835,NA,NA,152,NA,NA,NA,NA,NA
63264836,2,NA,71,5,NA,NA,NA,NA
63264837,0,2,30,0,NA,NA,NA,NA
63264838,0,0,0,0,NA,NA,NA,NA
63264839,0,0,0,0,NA,NA,NA,NA
63264840,0,0,0,0,NA,NA,NA,NA
63264841,0,0,6,0,NA,NA,8,NA
63264842,0,1,25,0,NA,NA,NA,NA
63264843,0,0,0,0,NA,NA,NA,NA
63264844,NA,1,5,NA,NA,NA,NA,NA
63264845,1,1,15,1,NA,NA,NA,NA
63264846,NA,NA,6,NA,NA,NA,NA,NA
63264847,NA,NA,43,NA,NA,NA,NA,NA
63264848,1,1,4,NA,NA,NA,NA,NA
63264849,1,1,5,1,NA,NA,NA,NA
63264850,3,1,2,0,NA,NA,NA,NA
63264851,0,0,0,0,NA,NA,NA,NA
63264852,0,0,0,0,NA,NA,NA,NA
63264853,0,0,8,0,NA,NA,NA,NA
63264854,1,1,3,NA,NA,NA,NA,NA
63264855,9,NA,360,10,NA,NA,NA,NA
63264856,1,NA,1,NA,NA,NA,NA,NA
63264857,NA,NA,317,NA,NA,NA,NA,NA
63264858,0,0,0,0,NA,NA,NA,NA
63264859,1,NA,73,NA,NA,NA,NA,NA
63264860,6,8,500,NA,NA,NA,NA,NA
63264861,0,0,0,0,NA,NA,NA,NA
63264862,0,0,0,0,NA,NA,NA,NA
63264863,0,0,0,0,NA,NA,NA,NA
63264864,1,NA,20,0,NA,NA,NA,NA
63264865,0,0,0,0,NA,NA,NA,NA
63264866,5,3,100,0,NA,NA,NA,NA
63264867,NA,1,25,NA,NA,NA,NA,NA
63264868,0,0,1,0,NA,NA,NA,NA
63264869,NA,2,0,0,NA,NA,NA,NA
63264870,0,0,0,0,NA,NA,NA,NA
63264871,0,0,25,0,NA,NA,NA,NA
63264872,1,1,50,0,NA,NA,NA,NA
63264873,NA,NA,0,NA,NA,NA,NA,NA
63264874,0,0,0,0,NA,NA,NA,NA
63264875,0,0,2,0,NA,NA,NA,NA
63264876,0,0,0,0,NA,NA,NA,NA
63264877,0,0,0,0,NA,NA,NA,NA
63264878,0,0,0,0,NA,NA,NA,NA
63264879,0,1,125,1,NA,NA,NA,NA
63264880,0,1,125,1,NA,NA,NA,NA
63264881,NA,1,50,0,NA,NA,NA,NA
63264882,0,0,0,0,NA,NA,NA,NA
63264883,0,0,0,0,NA,NA,NA,NA
63264884,1,1,15,0,NA,NA,NA,NA
63264885,0,0,0,0,NA,NA,NA,NA
63264886,0,0,0,0,NA,NA,NA,NA
63264887,0,0,0,0,NA,NA,NA,NA
